sample,forced_time,position,N1,N2,anaphase_time,congression
1,30,1,46,46,40,Y
1,30,2,46,46,31,Y
1,30,3,46,46,25,Y
1,30,4,45,47,30,Y
1,30,5,46,46,31,Y
1,30,6,46,46,28,Y
1,30,7,46,46,46,Y
1,30,8,46,46,22,Y
1,30,8,,,22,Y
1,30,10,46,46,30,Y
1,30,11,46,46,35,Y
1,30,12,46,46,44,Y
1,30,13,45,47,31,Y
1,30,14,45,47,40,Y
1,30,15,46,46,48,Y
1,30,16,46,46,32,Y
1,30,17,46,46,30,Y
1,30,18,46,46,33,Y
1,30,19,46,46,43,Y
1,30,20,46,46,43,Y
1,30,20,46,46,,Y
1,30,21,45,47,31,Y
1,30,22,45,47,32,Y
1,30,23,44,48,45,N
1,30,24,45,47,30,Y
2,20,1,40,52,35,N
2,20,2,42,50,25,Y
2,20,3,46,46,30,Y
2,20,4,48,44,28,Y
2,20,5,50,42,32,Y
2,20,6,46,46,25,Y
2,20,7,52,40,32,N
2,20,8,46,46,22,Y
2,20,9,49,43,26,Y
2,20,10,48,44,29,Y
2,20,11,47,45,36,Y
2,20,12,50,42,24,Y
2,20,13,46,46,25,Y
2,20,14,48,44,24,Y
2,20,15,43,49,27,Y
2,20,16,44,48,29,Y
2,20,17,49,43,30,Y
2,20,18,50,42,25,Y
2,20,19,41,51,27,Y
2,20,20,46,46,24,Y
2,20,21,48,44,21,Y
2,20,22,46,46,29,Y
2,20,23,48,44,26,Y
2,20,24,46,46,21,Y
2,20,25,50,42,25,Y
2,20,26,52,40,27,N
2,20,27,40,52,29,Y
2,20,28,46,46,30,Y
2,20,29,46,46,26,Y
2,20,29,60,32,26,N
3,10,1,46,46,23,Y
3,10,2,48,44,20,Y
3,10,3,52,40,25,Y
3,10,4,63,29,23,N
3,10,5,82,10,21,N
3,10,6,46,46,24,Y
3,10,7,46,46,23,Y
3,10,8,47,45,20,Y
3,10,9,53,39,21,Y
3,10,10,60,32,20,N
3,10,11,66,26,18,N
3,10,12,46,46,22,Y
3,10,13,48,44,24,Y
3,10,14,49,43,20,Y
3,10,15,54,38,19,Y
3,10,16,42,50,18,Y
3,10,17,46,46,23,Y
3,10,18,56,36,17,N
3,10,19,59,33,18,N
3,10,20,47,45,25,Y
3,10,21,49,43,24,N
3,10,22,46,46,17,Y
3,10,23,40,52,21,Y
3,10,24,50,42,18,Y
3,10,25,46,46,22,Y
3,10,26,47,45,24,Y
3,10,27,47,45,23,Y
3,10,28,48,44,20,Y
3,10,29,48,44,21,N
3,10,30,48,44,19,Y
3,10,31,47,45,23,Y
3,10,32,47,45,24,Y
3,10,33,50,42,19,Y
3,10,34,52,40,18,Y